order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,Customer Segment,mean_review_score,median_review_score,std_review_score,review_count,Unhappy
78d7bf360bb60d0dd4bd37663c126524,bbfd6562ad0326487d9e5c8e6433fc8d,delivered,2018-08-26 13:23:23,2018-08-26 13:35:09,2018-08-27 15:12:00,2018-08-30 23:40:54,2018-09-10 00:00:00,1,71b7bb7d435217ef96c1ec8e48421599,c3cfdc648177fdbbbb35635a37472c53,2018-08-28 13:31:15,169.9,18.99,esporte_lazer,37.0,190.0,1.0,980.0,32.0,26.0,23.0,80610,curitiba,PR,52b8fc428690f8974a3d3ff3a162f7b7,88106,sao jose,SC,1,credit_card,5,188.89,d8b70c5af2fc6f0173b87314a7d7ce56,1,,,2018-08-31 00:00:00,2018-09-03 15:02:23,VIP,3.0,3.0,2.8284271247461903,2,True
e339c040755b354d17a122b68617cb4f,511a4d0fd15ef186a3103e38ef910563,delivered,2018-08-16 11:54:27,2018-08-16 12:10:13,2018-08-20 13:49:00,2018-08-28 00:12:31,2018-09-18 00:00:00,1,675dbd52c3dadeafa9a8c96ea5a9bfc6,9e6229250fedbe05838fef417b74e7fb,2018-08-24 12:10:13,149.9,27.35,bebes,58.0,801.0,1.0,2300.0,36.0,30.0,19.0,16800,mirandopolis,SP,cde6577300fbd06655ff162902f15b2a,89010,blumenau,SC,1,credit_card,7,177.25,013790829ce3ff85c43327d680bfaadd,4,,,2018-08-29 00:00:00,2018-08-30 23:54:08,VIP,4.5,4.5,0.7071067811865476,2,True
1b9411e11370aedecc0bb2daa7f41501,300b04fccf49393ab58606cdf2c4ce52,delivered,2018-08-17 16:11:01,2018-08-17 16:29:56,2018-08-23 14:08:00,2018-08-27 17:19:02,2018-09-06 00:00:00,1,d78c524a16fe960ae8229034d4541469,c70c1b0d8ca86052f45a432a38b73958,2018-08-27 16:29:56,95.0,15.77,beleza_saude,46.0,803.0,1.0,250.0,22.0,3.0,15.0,13186,hortolandia,SP,8d187f36fa18c60c2ac49e7a966d8ff7,30720,belo horizonte,MG,1,credit_card,1,110.77,c5cdc9882ed59900426e8e31db007c68,1,,,2018-08-28 00:00:00,2018-08-29 13:50:46,VIP,2.5,2.5,2.1213203435596424,2,True
4d14cee530bddf889464f788f5cde498,8c0b305bd4a7d01a811b4ab3f1f72cd7,delivered,2018-08-13 14:44:16,2018-08-13 14:55:24,2018-08-15 12:49:00,2018-08-18 16:54:44,2018-08-20 00:00:00,1,b3cde9c63f334490ef1c3348bb7dfc3c,53e4c6e0f4312d4d2107a8c9cddf45cd,2018-08-16 14:55:24,17.0,15.43,moveis_decoracao,51.0,233.0,1.0,700.0,25.0,30.0,35.0,13920,pedreira,SP,ad7fda75731aed4991eb80d939db8115,6140,osasco,SP,1,credit_card,1,32.43,f7f21e4ae2e2258af84edeb9b8fad16e,4,,,2018-08-19 00:00:00,2018-08-22 17:03:04,VIP,4.75,5.0,0.4999999999999999,4,True
05f8021cf7217f1990addecad0e24b7a,1b4f0369610bd9e4d237aab3a993bdcd,delivered,2018-08-10 20:50:51,2018-08-10 21:04:25,2018-08-22 14:49:00,2018-08-28 13:08:52,2018-09-11 00:00:00,1,d670c0f6be30a062ebd8f8612ea82d71,612170e34b97004b3ba37eae81836b4c,2018-08-23 21:04:25,178.9,19.35,telefonia_fixa,39.0,975.0,3.0,450.0,16.0,8.0,16.0,93542,novo hamburgo,RS,5d63628c95182301765aa1482b0293aa,12246,sao jose dos campos,SP,1,credit_card,5,198.25,c8cb9544919164f774315c60d131d76b,4,,,2018-08-29 00:00:00,2018-08-29 16:50:27,VIP,4.666666666666667,5.0,0.5773502691896257,3,True
05ec9565bccc292561dec1d33bfefdfa,928194af995122dd13f29b05cedc6a68,delivered,2018-08-05 11:15:46,2018-08-05 11:30:16,2018-08-07 10:34:00,2018-08-10 19:12:12,2018-08-15 00:00:00,1,8dc8cdb4e5a2d2f2af019bc5a255e907,e333046ce6517bd8bb510291d44f0130,2018-08-09 11:30:16,49.0,13.92,beleza_saude,53.0,313.0,1.0,650.0,25.0,20.0,25.0,18950,ipaussu,SP,b9badb100ff8ecc16a403111209e3a06,3014,sao paulo,SP,1,credit_card,5,62.92,1499b9bdfc9383ca49ffd56181065912,3,Recomendo ,Ok,2018-08-11 00:00:00,2018-08-11 22:39:46,VIP,3.2,4.0,1.3038404810405297,5,True
e51a9885ddaf8cc8e4a5f760fa7992bb,3dcbd63311cf3959c5a02ad4a923b714,delivered,2018-08-06 21:13:55,2018-08-06 21:25:19,2018-08-07 13:31:00,2018-08-18 00:21:53,2018-09-06 00:00:00,1,092eff69a9499b052a2258f502ea0775,1ce3ae5a399804d1a87e706f8a813c3e,2018-08-08 21:25:19,39.9,22.21,moveis_decoracao,52.0,485.0,2.0,500.0,35.0,8.0,35.0,88715,jaguaruna,SC,719b416ebeb9f51638f343c4cc19f742,28020,campos dos goytacazes,RJ,1,credit_card,4,62.11,1b2284f7058c285644fffeb17b531b05,1,,,2018-08-19 00:00:00,2018-08-21 02:20:12,VIP,3.0,3.0,2.8284271247461903,2,True
d2a447028b1fbbc9200739e3fee4e22c,b0dbe26f4e6b3d6dfe331c70f7e2073e,delivered,2018-08-15 14:57:55,2018-08-15 20:29:49,2018-08-17 15:21:00,2018-08-21 21:14:58,2018-08-24 00:00:00,1,db580783a754f97648c304e049cf4d76,3d8fa2f5b647373c8620330c4e077a9f,2018-08-21 16:31:49,52.99,9.12,ferramentas_jardim,58.0,2593.0,3.0,850.0,22.0,8.0,25.0,3031,sao paulo,SP,b9bab1d3bf90360ff3942299971001ef,13087,campinas,SP,1,credit_card,6,62.11,b7900db6a66c2cd86cae67aeabe60f83,4,,,2018-08-22 00:00:00,2018-08-25 12:26:57,VIP,4.5,4.5,0.7071067811865476,2,True
b18f96d97651133bd9a491945fa1d3bd,e342cc220c9ce03ad61939a23e6571fd,delivered,2018-08-28 10:57:13,2018-08-28 11:10:23,2018-08-28 15:26:00,2018-08-30 17:42:23,2018-08-31 00:00:00,1,3207053643b68f43eed19750c0ad8157,4c18691b6037662be2df78a765d98ab5,2018-08-30 11:10:23,30.0,8.37,utilidades_domesticas,46.0,1900.0,2.0,500.0,33.0,12.0,18.0,3167,sao paulo,SP,34b0cd95480e55c2a701293a2b9671b3,5171,sao paulo,SP,1,credit_card,3,38.37,e7c79828cc26249cb387b63b77a96199,3,,,2018-08-31 00:00:00,2018-09-03 10:05:02,VIP,4.25,4.5,0.9574271077563381,4,True
e98eaa3acbf55a63a501cec1baf45f9e,f863f99cff7c8ec08708df2fb890dd6f,delivered,2018-08-20 12:38:56,2018-08-20 15:36:01,2018-08-22 13:10:00,2018-08-30 21:28:48,2018-09-03 00:00:00,1,d6183bc1d858bac539ee14cd72203b06,0417b067eeab773d2f7061a726dc477f,2018-08-23 15:36:01,629.99,44.7,automotivo,54.0,531.0,2.0,4550.0,42.0,19.0,32.0,89288,sao bento do sul,SC,acd7af4da419afee85373166387d5799,20710,rio de janeiro,RJ,1,debit_card,1,674.69,54afe5c8186fb4b06c1bdded93a22c83,1,,,2018-08-31 00:00:00,2018-09-16 04:32:45,VIP,3.0,3.0,2.8284271247461903,2,True
